1H,1,0,0,
2H,1,1,1112.2831,0.0002
3H,1,2,2827.2654,0.0003
3He,2,1,2572.68044,0.00015
3Li,3,0,-2267,667
4H,1,3,1720.4491,25
4He,2,2,7073.9156,0.0002
4Li,3,1,1153.7603,53.033
5H,1,4,1336.3592,17.8885
5He,2,3,5512.1325,4
5Li,3,2,5266.1325,10
5Be,4,1,18,401
6H,1,5,961.6395,42.3545
6He,2,4,4878.5199,0.0089
6Li,3,3,5332.3312,0.0003
6Be,4,2,4487.2478,0.908
6B,5,1,-467,334
7H,1,6,940,143
7He,2,5,4123.0578,1.0799
7Li,3,4,5606.4401,0.0006
7Be,4,3,5371.5487,0.0101
7B,5,2,3558.7055,3.5929
8He,2,6,3924.521,0.0111
8Li,3,5,5159.7124,0.0059
8Be,4,4,7062.4356,0.0044
8B,5,3,4717.1551,0.125
8C,6,2,3101.5242,2.2804
9He,2,7,3349.038,5.2018
9Li,3,6,5037.7685,0.0207
9Be,4,5,6462.6693,0.0085
9B,5,4,6257.0713,0.1003
9C,6,3,4337.4233,0.2374
10He,2,8,2995.134,9.2848
10Li,3,7,4531.3512,1.2721
10Be,4,6,6497.6306,0.0081
10B,5,5,6475.0835,0.0015
10C,6,4,6032.0426,0.007
10N,7,3,3643.6724,40
11Li,3,8,4155.3817,0.0559
11Be,4,7,5952.5402,0.0216
11B,5,6,6927.7323,0.0011
11C,6,5,6676.4563,0.0054
11N,7,4,5358.4023,0.4546
11O,8,3,3162.4372,5.458
12Li,3,9,3791.5999,2.5005
12Be,4,8,5720.7223,0.159
12B,5,7,6631.2237,0.1101
12C,6,6,7680.1446,0.0002
12N,7,5,6170.11,0.0833
12O,8,4,4881.9755,1
13Li,3,10,3507.6307,5.3848
13Be,4,9,5241.4359,0.7831
13B,5,8,6496.4194,0.0769
13C,6,7,7469.8495,0.0002
13N,7,6,7238.8634,0.0207
13O,8,5,5811.7636,0.7328
13F,9,4,4297,38
14Be,4,10,4993.8973,9.4461
14B,5,9,6101.6451,1.5152
14C,6,8,7520.3198,0.0004
14N,7,7,7475.6148,0.0002
14O,8,6,7052.2783,0.0018
14F,9,5,5285.2091,2.9371
15Be,4,11,4540.9708,11.0532
15B,5,10,5880.0438,1.4019
15C,6,9,7100.1696,0.0533
15N,7,8,7699.4603,0.0002
15O,8,7,7463.6915,0.0327
15F,9,6,6497.4597,0.9333
15Ne,10,5,4868.7285,4.4456
16Be,4,12,4285.2851,10.3623
16B,5,11,5507.3535,1.5354
16C,6,10,6922.0546,0.2236
16N,7,9,7373.7971,0.1438
16O,8,8,7976.2072,0.0002
16F,9,7,6964.049,0.3353
16Ne,10,6,6083.1777,1.28
17B,5,12,5269.6677,12.0061
17C,6,11,6558.0262,1.0215
17N,7,10,7286.2294,0.8824
17O,8,9,7750.7291,0.0002
17F,9,8,7542.3284,0.0146
17Ne,10,7,6640.4991,0.0208
17Na,11,6,5522.7653,3.5068
18B,5,13,4976.6306,11.3425
18C,6,12,6426.1321,1.6667
18N,7,11,7038.5627,1.0316
18O,8,10,7767.0981,0.0002
18F,9,9,7631.6383,0.0257
18Ne,10,8,7341.2577,0.0202
18Na,11,7,6202.2176,5.2156
19B,5,14,4719.6346,27.6507
19C,6,13,6118.274,5.1784
19N,7,12,6948.5452,0.8634
19O,8,11,7566.4952,0.1388
19F,9,10,7779.0192,0.0002
19Ne,10,9,7567.3431,0.0084
19Na,11,8,6937.8864,0.5545
19Mg,12,7,5901.4992,3.1579
20B,5,15,4405.6529,27.3178
20C,6,14,5961.4356,11.5312
20N,7,13,6709.1717,3.9447
20O,8,12,7568.5707,0.0442
20F,9,11,7720.1351,0.0015
20Ne,10,10,8032.2412,0.0002
20Na,11,9,7298.5028,0.0554
20Mg,12,8,6728.0252,0.0931
21B,5,16,4152.5265,26.6031
21C,6,15,5674,28
21N,7,14,6609.0159,6.3832
21O,8,13,7389.3747,0.5714
21F,9,12,7738.2934,0.0857
21Ne,10,11,7971.7136,0.0018
21Na,11,10,7765.5581,0.002
21Mg,12,9,7105.0317,0.0359
21Al,13,8,6297,29
22C,6,16,5421.0778,10.5223
22N,7,15,6378.5347,9.4445
22O,8,14,7364.8722,2.5873
22F,9,13,7624.2954,0.5636
22Ne,10,12,8080.4656,0.0008
22Na,11,11,7915.6624,0.006
22Mg,12,10,7662.7645,0.0072
22Al,13,9,6782,18
22Si,14,8,6044,23
23C,6,17,5077,43
23N,7,16,6236.6721,18.2856
23O,8,15,7163.4856,5.2918
23F,9,14,7622.3447,1.4487
23Ne,10,13,7955.2561,0.0045
23Na,11,12,8111.4936,0.0002
23Mg,12,11,7901.1229,0.0014
23Al,13,10,7335.7275,0.015
23Si,14,9,6554,22
24N,7,17,5887,17
24O,8,16,7039.6855,6.8698
24F,9,15,7463.5831,4.0696
24Ne,10,14,7993.3252,0.0214
24Na,11,13,8063.4882,0.0007
24Mg,12,12,8260.7103,0.0006
24Al,13,11,7649.5806,0.0095
24Si,14,10,7167.2329,0.8113
24P,15,9,6165,21
25N,7,18,5613,20
25O,8,17,6727.8058,6.6034
25F,9,16,7336.3065,3.8577
25Ne,10,15,7839.7994,1.1618
25Na,11,14,8101.3979,0.048
25Mg,12,13,8223.5028,0.0019
25Al,13,12,8021.1366,0.0026
25Si,14,11,7480.1109,0.4
25P,15,10,6794,16
26O,8,18,6497.479,6.3442
26F,9,17,7082.2497,4.1164
26Ne,10,16,7751.911,0.7088
26Na,11,15,8004.2013,0.1347
26Mg,12,14,8333.8711,0.0011
26Al,13,13,8149.7653,0.0026
26Si,14,12,7924.7083,0.0041
26P,15,11,7198,8
26S,16,10,6525,23
27O,8,19,6185,19
27F,9,18,6879.6662,4.4518
